Time	Topic
09:00	... continued: Containers
10:15	Break
10:30	Computational notebooks and reproducible reports<br><i>- Introduction to R Markdown</i><br><i>- Practical tutorial: R Markdown</i>
12:00	Lunch
13:00	Computational notebooks and reproducible reports<br><i>- Introduction to Jypyter</i><br><i>- Practical tutorial: Jupyter</i>
14:15	Computational notebooks and reproducible reports<br><i>- Introduction to Quarto</i><br><i>- Practical tutorial: Quarto</i>
15:00	Break
15:15	Wrap-up - Computational notebooks and reproducible reports
15:30	Putting the pieces together<br><i>- How to put all the tools and procedures together</i><br><i>- How to implement these procedures on a day-to-day basis</i>
16:30	End of the course!
