Time;Topic
09:00;Setting up
10:00;Introduction to Reproducible Research
10:30;Break
10:45;Data management and project organization
11:15;Break-out rooms and ice breaker session
11:30;Distributing and version tracking your code <br>- Introduction to version control and Git <br> - Practical tutorial: Git
12:00;Lunch
13:30;... continued: Git tutorial
15:00;Wrap-up Git tutorial
15:15;Break
15:30;Master your dependencies - environments and reproducibility <br>- Introduction to the package and environment manager Conda <br>- Practical tutorial: Conda
17:15;Wrap up: Conda tutorial
